Cusip,ISIN,Description,Ticker,Coupon,Maturity,Composite Rating,Currency,Country,Sector Level 1,Sector Level 2,Sector Level 3,Sector Level 4,Type,Face Value,Price,Accrued Interest,% Weight,Cash,Duration To Worst,Yield to Worst,Effective Duration,Effective Yield,OAS vs Govt,Prior Month-End Price,Prior Month-End Accrued Interest,Prior Month-End % Weight,Prior Month-End Duration To Worst,Prior Month-End Yield To Worst,Prior Month-End Effective Duration,Prior Month-End Effective Yield,Prior Month-End OAS vs Govt,TRR % MTD LOC,Excess Rtn % MTD,Asset Swap Spread,Prior Month-End Asset Swap Spread,OAS vs Swap ,Prior Month-End OAS vs Swap
'70457LAB',US70457LAB09,Peabody Securities Finance Corporation,BTU,6.375,3/31/25,CCC2,USD,US,Corporate,Industrials,Basic Industry,Metals/Mining Excluding Steel,SECR,506.7,32,1.275,0.01115,0,2.685,41.515,2.69,41.515,4126,25,1.08,0.00882,2.478,50.463,2.482,50.463,5021,27.587,27.553,2164,2312,4121,5016
'121579AH',US121579AH97,Burlington Coat Factory Warehouse Corporation,BURL,6.25,4/15/25,BB1,USD,US,Corporate,Industrials,Retail,Specialty Retail,SECR,304,106,0.989583,0.02151,0,1.274,3.903,1.562,4.099,380,106.25,0.799,0.02173,1.305,3.77,1.504,3.979,367,-0.055,-0.074,357,347,371,355
'05605HAA',US05605HAA86,BWX Technologies Inc,BWXT,5.375,7/15/26,BB3,USD,US,Corporate,Industrials,Capital Goods,Aerospace/Defense,SENR,405.3,104,2.194792,0.02847,0,0.57,3.034,0.681,3.402,296,103.875,2.031,0.02866,0.6,3.335,0.971,3.69,325,0.273,0.266,185,212,286,313
'05605HAB',US05605HAB69,BWX Technologies Inc,BWXT,4.125,6/30/28,BB3,USD,US,Corporate,Industrials,Capital Goods,Aerospace/Defense,SENR,405.3,104,2.0625,0.02843,0,4.058,3.174,4.506,3.155,252,104.125,1.936,0.0287,4.089,3.15,4.467,3.123,251,0.001,0.013,235,234,248,246
'12429TAD',US12429TAD63,BWAY Holding Company,BWY,5.5,4/15/24,B2,USD,US,Corporate,Industrials,Capital Goods,Packaging,SECR,1499.8,101.388,0.870833,0.10143,0,1.274,4.418,1.187,4.518,433,101.25,0.703,0.10209,1.303,4.546,1.373,4.657,445,0.3,0.283,425,408,424,433
'12429TAE',US12429TAE47,BWAY Holding Company,BWY,7.25,4/15/25,CCC2,USD,US,Corporate,Industrials,Capital Goods,Packaging,SENR,1368,100.75,1.147917,0.09219,0,1.249,6.646,1.888,6.772,648,100.37,0.926,0.09252,1.276,6.954,2.254,6.986,668,0.594,0.562,637,654,640,660
'103304BM',US103304BM24,Boyd Gaming Corporation,BYD,6.375,4/1/26,CCC1,USD,US,Corporate,Industrials,Leisure,Gaming,SENR,759.9,103.968,1.257292,0.05288,0,0.297,3.61,0.296,3.972,357,103.875,1.062,0.05324,0.327,4.111,0.366,4.455,404,0.274,0.271,222,276,343,392
'103304BQ',US103304BQ38,Boyd Gaming Corporation,BYD,6,8/15/26,CCC1,USD,US,Corporate,Industrials,Leisure,Gaming,SENR,704.4,103.779,1.95,0.04926,0,0.646,4.662,1.811,4.757,431,104.125,1.767,0.0498,0.677,4.227,1.319,4.518,407,-0.154,-0.164,432,407,425,397
'103304BS',US103304BS93,Boyd Gaming Corporation,BYD,8.625,6/1/25,CCC1,USD,US,Corporate,Industrials,Leisure,Gaming,SENR,608,111,0.263542,0.04474,0,1.387,3.743,1.385,3.961,366,111.094,0,0.0451,1.416,3.77,1.414,3.992,367,0.153,0.134,376,380,356,355
'103304BU',US103304BU40,Boyd Gaming Corporation,BYD,4.75,12/1/27,CCC1,USD,US,Corporate,Industrials,Leisure,Gaming,SENR,1013.1,101.75,0.145139,0.06827,0,3.586,4.266,4.712,4.259,368,101.62,0,0.06873,3.615,4.305,4.769,4.288,372,0.271,0.278,358,362,365,369
'07556QBR',US07556QBR56,Beazer Homes USA Inc.,BZH,5.875,10/15/27,B3,USD,US,Corporate,Industrials,Basic Industry,Building & Construction,SENR,399.3,104.5,0.930208,0.02784,0,2.58,4.81,3.62,4.731,417,105.25,0.751,0.02826,1.753,4.441,3.273,4.508,396,-0.538,-0.554,404,384,413,389
'07556QBT',US07556QBT13,Beazer Homes USA Inc.,BZH,7.25,10/15/29,B3,USD,US,Corporate,Industrials,Basic Industry,Building & Construction,SENR,350.6,112,1.147917,0.02624,0,3.342,4.671,4.522,4.886,418,112,0.926,0.02643,3.371,4.688,4.481,4.884,421,0.196,0.209,427,431,414,417
'12685JAC',US12685JAC99,Cable One Inc,CABO,4,11/15/30,B1,USD,US,Corporate,Industrials,Telecommunications,Telecom - Wireline Integrated & Services,SENR,658.7,103.125,0.366667,0.04509,0,6.746,3.544,7.078,3.434,262,104.125,0.244,0.0459,6.787,3.403,6.926,3.279,251,-0.841,-0.659,254,244,260,248
'225310AM',US225310AM36,Credit Acceptance Corporation of Michigan,CACC,6.625,3/15/26,BB3,USD,US,Corporate,Financial,Financial Services,Cons/Comm/Lease Financing,SENR,405.3,105.375,1.601042,0.02867,0,1.185,4.752,2.127,4.88,448,105.75,1.399,0.02899,1.216,4.501,1.908,4.716,431,-0.161,-0.186,413,396,441,422
'225310AN',US225310AN19,Credit Acceptance Corporation of Michigan,CACC,5.125,12/31/24,BB3,USD,US,Corporate,Financial,Financial Services,Cons/Comm/Lease Financing,SENR,405.3,102.52,2.30625,0.0281,0,2.747,4.235,2.819,4.301,403,102.25,2.15,0.02825,2.775,4.336,2.966,4.396,411,0.409,0.363,373,386,396,403
'053773BC',US053773BC09,Avis Budget Car Rental LLC/Avis Budget Finance Inc.,CAR,5.75,7/15/27,B3,USD,US,Corporate,Industrials,Services,Support-Services,SENR,405.3,100.25,2.347917,0.0275,0,3.133,5.67,4.607,5.585,505,100.12,2.172,0.02768,3.162,5.711,4.636,5.613,509,0.299,0.297,495,498,503,506
'053773BD',US053773BD81,Avis Budget Car Rental LLC/Avis Budget Finance Inc.,CAR,10.5,5/15/25,BB3,USD,US,Corporate,Industrials,Services,Support-Services,SECR,506.7,117.25,0.7875,0.03956,0,1.337,3.429,1.333,3.641,335,116.733,0.467,0.03965,1.364,3.874,1.359,4.091,378,0.715,0.698,353,402,325,366
'053773BE',US053773BE64,Avis Budget Car Rental LLC/Avis Budget Finance Inc.,CAR,5.75,7/15/27,B3,USD,US,Corporate,Industrials,Services,Support-Services,SENR,354.7,100.5,2.347917,0.02413,0,3.135,5.593,4.56,5.528,499,99.25,2.172,0.02402,5.321,5.887,4.779,5.806,528,1.406,1.409,490,514,497,525
'053773BB',US053773BB26,Avis Budget Car Rental LLC/Avis Budget Finance Inc.,CAR,6.375,4/1/24,B3,USD,US,Corporate,Industrials,Services,Support-Services,SENR,354.7,101.25,1.257292,0.02405,0,1.224,5.361,1.289,5.454,527,101.995,1.062,0.0244,1.258,4.806,0.868,4.908,471,-0.534,-0.544,519,464,518,459
'053773BA',US053773BA43,Avis Budget Car Rental LLC/Avis Budget Finance Inc.,CAR,5.25,3/15/25,B3,USD,US,Corporate,Industrials,Services,Support-Services,SENR,380,100.603,1.26875,0.0256,0,2.083,4.961,2.851,4.979,469,99.25,1.108,0.02546,3.751,5.446,3.389,5.417,512,1.508,1.461,458,496,463,506
'14575EAA',US14575EAA38,Cars Com Inc,CARS,6.375,11/1/28,B3,USD,US,Corporate,Industrials,Media,Advertising,SENR,405.3,105.129,0.74375,0.02838,0,4.156,5.172,4.792,5.238,459,103.15,0.549,0.02806,4.17,5.631,5.169,5.648,503,2.096,2.129,453,492,456,500
'14739LAA',US14739LAA08,Cascades Inc.,CASCN,5.125,1/15/26,BB3,USD,CA,Corporate,Industrials,Capital Goods,Packaging,SENR,354.7,106.389,2.092708,0.02545,0,1.945,3.139,2.677,3.309,292,105.875,1.936,0.02553,1.972,3.405,2.903,3.512,312,0.622,0.579,271,292,285,304
'14739LAB',US14739LAB80,Cascades Inc.,CASCN,5.375,1/15/28,BB3,USD,CA,Corporate,Industrials,Capital Goods,Packaging,SENR,608,105.78,2.194792,0.04342,0,1.934,3.723,3.379,3.848,326,105.25,2.031,0.04355,2.813,3.977,3.601,4.014,344,0.647,0.633,302,322,320,338
'CASHUSD0',CASHUSD00000,CASH,CASH,0,12/11/20,CASH,USD,CASH,CASH,CASH,CASH,CASH,CASH,177.04,100,0,0.01171,0,0,0,0,0,0,100,,,,,,,,0,0,0,,0,
'14161TAA',US14161TAA07,Cardtronics plc,CATM,5.5,5/1/25,B1,USD,US,Corporate,Financial,Financial Services,Investments & Misc Financial Services,SENR,304,102.75,0.626389,0.02079,0,2.211,4.273,1.931,4.433,413,103.25,0.458,0.02105,1.35,4.066,1.42,4.192,388,-0.32,-0.343,392,340,404,376
'14987RAA',US14987RAA68,Cincinnati Bell Inc.,CBB,8,10/15/25,CCC1,USD,US,Corporate,Industrials,Telecommunications,Telecom - Wireline Integrated & Services,SENR,354.7,107.01,1.266667,0.0254,0,0.157,1.497,0.16,1.965,161,107.07,1.022,0.0256,0.16,1.257,0.16,1.589,123,0.171,0.167,168,130,147,114
'171871AP',US171871AP14,Cincinnati Bell Inc.,CBB,7,7/15/24,CCC1,USD,US,Corporate,Industrials,Telecommunications,Telecom - Wireline Integrated & Services,SENR,633.3,103.98,2.858333,0.04475,0,0.08,0.975,0.082,1.113,90,103.377,2.644,0.04483,0.744,4.791,0.884,5.027,480,0.771,0.758,84,480,76,469
'124847AC',US124847AC84,Entercom Media Corp,CBSR,7.25,11/1/24,CCC1,USD,US,Corporate,Industrials,Media,Media Content,SENR,405.3,100.875,0.825694,0.02726,0,1.726,6.742,2.292,6.811,656,96,0.604,0.02614,3.308,8.468,3.315,8.468,820,5.276,5.228,627,783,648,815
'29365DAA',US29365DAA72,Entercom Media Corp,CBSR,6.5,5/1/27,B3,USD,US,Corporate,Industrials,Media,Media Content,SECR,430.7,102.038,0.740278,0.02928,0,3.754,5.963,4.573,5.988,548,96.288,0.542,0.02784,5.11,7.232,5.037,7.223,672,6.143,6.15,537,643,545,670
'163851AE',US163851AE83,The Chemours Company LLC,CC,5.375,5/15/27,B2,USD,US,Corporate,Industrials,Basic Industry,Chemicals,SENR,506.7,105.8425,0.403125,0.0356,0,5.231,4.288,5.353,4.297,377,104,0.239,0.03526,5.244,4.627,5.372,4.629,411,1.925,1.937,380,410,376,410
'163851AF',US163851AF58,The Chemours Company LLC,CC,5.75,11/15/28,B2,USD,US,Corporate,Industrials,Basic Industry,Chemicals,SENR,810.7,101.75,0.239583,0.05468,0,4.967,5.401,5.586,5.347,469,101.625,0.064,0.05504,4.995,5.427,5.618,5.367,474,0.296,0.359,457,461,467,471
'163851AD',US163851AD01,The Chemours Company LLC,CC,7,5/15/25,B2,USD,US,Corporate,Industrials,Basic Industry,Chemicals,SENR,760,103.6288,0.525,0.05235,0,0.417,3.794,0.365,4.056,375,103.47,0.311,0.05266,0.446,4.34,0.442,4.614,430,0.359,0.357,274,387,363,415
'13323AAB',US13323AAB61,Camelot Finance S.A.,CCC,4.5,11/1/26,B2,USD,US,Corporate,Industrials,Technology & Electronics,Software/Services,SECR,709.3,104.77,0.5125,0.04939,0,1.796,3.045,3.041,3.168,269,104.625,0.375,0.04972,1.825,3.141,3.149,3.231,275,0.269,0.237,260,267,263,268
'12509JAA',US12509JAA79,CCF Holdings LLC,CCFI,10.75,12/15/23,CC,USD,US,Corporate,Financial,Financial Services,Cons/Comm/Lease Financing,SENR,328.7,0.1,0,0.00002,0,2.006,99.99,0.002,100,10000,0.1,0,0.00002,2.026,99.99,0.01,100,10000,0,-0.004,4325,4291,10000,10000
'22819KAB',US22819KAB61,Crown Americas LLC / Crown Americas Capital Corp. V,CCK,4.25,9/30/26,BB3,USD,US,Corporate,Industrials,Capital Goods,Packaging,SENR,405.3,108.6325,0.85,0.02935,0,4.733,2.5,4.881,2.537,207,107.75,0.72,0.02935,4.756,2.679,4.908,2.711,224,0.933,0.903,210,227,205,222
'228187AB',US228187AB66,CROWN AMERS LLC / CROWN AMERS CAP CORP VI,CCK,4.75,2/1/26,BB3,USD,US,Corporate,Industrials,Capital Goods,Packaging,SENR,886.6,103.375,1.728472,0.06163,0,2.855,3.601,1.943,3.662,327,103.75,1.583,0.06235,1.114,3.451,1.335,3.448,304,-0.218,-0.238,324,302,321,297
'228255AH',US228255AH83,Crown Cork & Seal Company Inc.,CCK,7.375,12/15/26,B1,USD,US,Corporate,Industrials,Capital Goods,Packaging,SENR,354.7,122.5,3.626042,0.02959,0,4.854,3.226,4.876,3.226,275,122.5,3.401,0.02981,4.883,3.242,4.904,3.242,277,0.179,0.171,302,304,273,275
'228189AB',US228189AB23,Crown Americas LLC / Crown Americas Capital Corp. IV,CCK,4.5,1/15/23,BB3,USD,US,Corporate,Industrials,Capital Goods,Packaging,SENR,1013.3,105.23,1.8375,0.07175,0,1.969,1.936,1.969,1.936,184,105.5,1.7,0.07252,2,1.844,2,1.844,173,-0.124,-0.161,177,164,174,161
'143658BC',US143658BC57,Carnival Corporation,CCL,11.5,4/1/23,BB3,USD,US,Corporate,Industrials,Leisure,Recreation & Travel,SECR,4053.4,114.42,2.268055,0.31282,0,1.824,4.103,1.824,4.122,403,113.875,1.917,0.31335,1.85,4.453,1.85,4.473,436,0.774,0.74,418,450,392,423
'143658BG',US143658BG61,Carnival Corporation,CCL,10.5,2/1/26,B1,USD,US,Corporate,Industrials,Leisure,Recreation & Travel,SECR,785.3,116.158,4.141666,0.06248,0,2.252,5.681,2.525,5.9,552,118.25,3.821,0.064,2.293,4.967,2.378,5.206,482,-1.451,-1.491,564,496,544,472
'143658BJ',US143658BJ01,Carnival Corporation,CCL,9.875,8/1/27,B1,USD,US,Corporate,Industrials,Leisure,Recreation & Travel,SECR,912,115.5,3.127083,0.07155,0,3.359,5.62,3.394,5.864,535,117.25,2.825,0.07311,3.401,5.213,3.328,5.424,491,-1.206,-1.253,554,514,530,486
'143658BL',US143658BL56,Carnival Corporation,CCL,7.625,3/1/26,B2,USD,US,Corporate,Industrials,Leisure,Recreation & Travel,SENR,1469.4,106.625,0.360069,0.10397,0,3.587,5.833,3.621,5.9,551,105.5,0.127,0.10362,3.608,6.138,3.757,6.203,581,1.286,1.239,557,584,547,576
'12652HAA',US12652HAA68,CSI Compressco LP,CCLP,7.5,4/1/25,B2,USD,US,Corporate,Industrials,Energy,Oil Field Equipment & Services,SECR,354.7,91,1.479167,0.02169,0,3.492,10.126,3.499,10.126,984,89.646,1.25,0.02152,3.509,10.531,3.515,10.531,1023,1.742,1.694,913,941,980,1019
'18451QAP',US18451QAP37,Clear Channel Worldwide Holdings Inc.,CCO,9.25,2/15/24,CCC2,USD,US,Corporate,Industrials,Media,Advertising,SENR,1926.6,100.5,3.00625,0.13189,0,1.88,8.98,2.222,8.992,882,99.875,2.724,0.13197,2.651,9.287,2.398,9.261,907,0.885,0.845,865,885,873,897
'18452MAB',US18452MAB28,Clear Channel International B.V.,CCO,6.625,8/1/25,B2,USD,US,Corporate,Industrials,Media,Advertising,SECR,380,104.25,2.355556,0.02679,0,2.758,5.134,2.572,5.285,496,104.25,2.153,0.027,2.788,5.147,2.642,5.294,495,0.19,0.15,452,458,489,488
'18453HAA',US18453HAA41,Clear Channel Outdoor Holdings Inc New,CCO,5.125,8/15/27,B2,USD,US,Corporate,Industrials,Media,Advertising,SECR,1266.7,101.155,1.665625,0.08614,0,3.267,4.777,4.551,4.754,420,101,1.509,0.08669,3.295,4.825,4.605,4.789,425,0.304,0.302,401,406,418,422
'19240CAA',US19240CAA18,Cogent Communications Holdings Inc.,CCOI,5.375,3/1/22,B1,USD,US,Corporate,Industrials,Telecommunications,Telecom - Wireline Integrated & Services,SECR,450.9,102.75,1.507986,0.03109,0,0.932,2.486,0.932,2.475,238,102.596,1.344,0.03129,0.961,2.726,0.961,2.713,261,0.306,0.299,222,243,231,252
'156504AH',US156504AH51,Century Communities Inc,CCS,5.875,7/15/25,B2,USD,US,Corporate,Industrials,Basic Industry,Building & Construction,SENR,400.7,104.2355,2.398958,0.02826,0,0.568,3.529,0.654,3.786,346,104.316,2.219,0.0285,0.598,3.507,0.654,3.77,343,0.093,0.089,347,342,336,330
'156504AL',US156504AL63,Century Communities Inc,CCS,6.75,6/1/27,B2,USD,US,Corporate,Industrials,Basic Industry,Building & Construction,SENR,501.7,106.98,0.20625,0.03556,0,1.395,4.06,1.786,4.446,393,107.25,0,0.03592,1.426,3.932,1.711,4.321,381,-0.059,-0.079,392,384,384,369
'12508EAF',US12508EAF88,CDK Global  Inc,CDK,4.875,6/1/27,BB1,USD,US,Corporate,Industrials,Technology & Electronics,Software/Services,SENR,608,105,0.148958,0.04228,0,1.414,3.006,2.278,3.29,276,105.282,0,0.04274,1.445,2.855,2.141,3.174,265,-0.127,-0.145,269,260,269,255
'12508EAG',US12508EAG61,CDK Global  Inc,CDK,5.875,6/15/26,BB1,USD,US,Corporate,Industrials,Technology & Electronics,Software/Services,SENR,506.7,104,2.888542,0.03582,0,0.486,3.64,0.584,4.005,358,104.5,2.709,0.03627,0.518,2.847,0.516,3.209,278,-0.299,-0.302,358,158,346,263
'12508EAD',US12508EAD31,CDK Global  Inc,CDK,5,10/15/24,BB1,USD,US,Corporate,Industrials,Technology & Electronics,Software/Services,SENR,506.7,109.75,0.791667,0.03704,0,3.286,2.164,3.293,2.193,195,110,0.639,0.03743,3.318,2.118,3.322,2.145,188,-0.088,-0.138,196,189,189,182
'12508EAJ',US12508EAJ01,CDK Global  Inc,CDK,5.25,5/15/29,BB1,USD,US,Corporate,Industrials,Technology & Electronics,Software/Services,SENR,506.7,109.562,1.26875,0.03714,0,3.111,3.023,4.387,3.27,257,109.75,1.108,0.0375,3.142,2.986,4.327,3.216,255,-0.025,-0.015,254,252,253,250
'12513GBE',US12513GBE89,CDW LLC / CDW Finance Corp,CDWC,4.125,5/1/25,BB3,USD,US,Corporate,Industrials,Technology & Electronics,Tech Hardware & Equipment,SENR,608,103.5,0.469792,0.04181,0,1.337,2.995,2.385,3.018,271,103.75,0.344,0.04225,1.368,2.842,2.262,2.925,260,-0.119,-0.152,259,248,264,251
'12513GBF',US12513GBF54,CDW LLC / CDW Finance Corp,CDWC,3.25,2/15/29,BB3,USD,US,Corporate,Industrials,Technology & Electronics,Tech Hardware & Equipment,SENR,709.3,100.655,1.074306,0.04772,0,4.265,3.098,5.792,2.961,226,100.26,0.975,0.04794,4.292,3.189,5.894,3.03,236,0.488,0.573,213,222,223,233
'12513GBA',US12513GBA67,CDW LLC / CDW Finance Corp,CDWC,5.5,12/1/24,BB3,USD,US,Corporate,Industrials,Technology & Electronics,Tech Hardware & Equipment,SENR,582.7,110.625,0.168055,0.0427,0,3.18,2.296,3.183,2.353,210,110.5,0,0.04299,3.209,2.357,3.212,2.411,214,0.265,0.216,212,216,203,206
'12513GBD',US12513GBD07,CDW LLC / CDW Finance Corp,CDWC,4.25,4/1/28,BB3,USD,US,Corporate,Industrials,Technology & Electronics,Tech Hardware & Equipment,SENR,608,104.25,0.838194,0.04226,0,1.718,2.966,3.44,3.037,242,104.25,0.708,0.0426,1.748,2.985,3.457,3.044,245,0.124,0.119,228,231,237,238
'15138AAA',US15138AAA88,Centennial Resource Production LLC,CENREP,5.375,1/15/26,CCC2,USD,US,Corporate,Industrials,Energy,Energy - Exploration & Production,SENR,293.3,69.75,2.194792,0.01396,0,3.975,13.846,3.992,13.846,1346,55,2.031,0.01117,3.771,19.717,3.785,19.717,1933,26.151,26.11,1078,1360,1344,1930
'15138AAC',US15138AAC45,Centennial Resource Production LLC,CENREP,6.875,4/1/27,CCC2,USD,US,Corporate,Industrials,Energy,Energy - Exploration & Production,SENR,361.1,70.5,1.355903,0.01716,0,4.56,14.082,4.584,14.082,1360,55,1.146,0.01354,4.265,19.561,4.285,19.561,1909,27.981,27.983,1091,1334,1358,1907
'153527AM',US153527AM88,Central Garden & Pet Company,CENT,5.125,2/1/28,BB3,USD,US,Corporate,Industrials,Consumer Goods,Food - Wholesale,SENR,304,106,1.864931,0.02169,0,1.913,3.295,3.127,3.525,293,106.382,1.708,0.02194,1.944,3.136,2.972,3.403,282,-0.209,-0.228,271,260,287,274
'153527AN',US153527AN61,Central Garden & Pet Company,CENT,4.125,10/15/30,BB3,USD,US,Corporate,Industrials,Consumer Goods,Food - Wholesale,SENR,506.7,105.5,0.641667,0.03557,0,4.356,3.283,6.661,3.188,238,105.317,0.516,0.0358,4.385,3.327,6.657,3.213,245,0.292,0.45,233,239,236,242
'12527GAC',US12527GAC78,CF Industries Inc.,CF,3.45,6/1/23,BB1,USD,US,Corporate,Industrials,Basic Industry,Chemicals,SENR,760,104.695,0.105417,0.05268,0,2.37,1.506,2.368,1.506,140,105.046,0,0.0533,2.402,1.389,2.4,1.389,126,-0.234,-0.276,132,116,130,115
'12527GAD',US12527GAD51,CF Industries Inc.,CF,4.95,6/1/43,BB1,USD,US,Corporate,Industrials,Basic Industry,Chemicals,SENR,760,122.5,0.15125,0.06165,0,14.428,3.496,14.752,3.496,213,123,0,0.06241,14.476,3.469,14.799,3.469,215,-0.284,0.442,250,255,230,233
'12527GAF',US12527GAF00,CF Industries Inc.,CF,5.15,3/15/34,BB1,USD,US,Corporate,Industrials,Basic Industry,Chemicals,SENR,760,122,1.244583,0.06195,0,9.891,3.112,10.027,3.112,213,120.829,1.087,0.06186,9.898,3.212,10.019,3.212,229,1.09,1.531,230,245,212,227
'12527GAE',US12527GAE35,CF Industries Inc.,CF,5.375,3/15/44,BB1,USD,US,Corporate,Industrials,Basic Industry,Chemicals,SENR,760,126.5,1.298958,0.06424,0,14.26,3.671,14.559,3.671,230,126.5,1.135,0.06476,14.289,3.672,14.586,3.672,235,0.129,0.834,275,283,247,254
'15723RAA',US15723RAA23,Colfax Corp,CFX,6,2/15/24,BB2,USD,US,Corporate,Industrials,Capital Goods,Machinery,SENR,608,103.4688,1.95,0.04239,0,0.172,3.151,0.175,3.209,304,103.625,1.767,0.04278,0.203,2.808,0.205,2.842,265,0.026,0.022,300,120,290,256
'15723RAC',US15723RAC88,Colfax Corp,CFX,6.375,2/15/26,BB2,USD,US,Corporate,Industrials,Capital Goods,Machinery,SENR,405.3,107.1135,2.071875,0.02927,0,1.116,2.858,1.118,3.144,275,107.25,1.877,0.02953,1.146,2.829,1.148,3.114,271,0.053,0.042,233,232,267,260
'12532MAA',US12532MAA18,CGG Holding (U.S.) Inc,CGGFP,9,5/1/23,B2,USD,FR,Corporate,Industrials,Energy,Oil Field Equipment & Services,SECR,304,101.039,1.019337,0.02052,0,1.271,8.18,1.282,8.201,811,100.5,0.746,0.02055,1.298,8.608,1.464,8.636,853,0.802,0.781,799,833,802,841
'12652AAA',US12652AAA16,Caesars Resort Collection LLC/CRC Finco Inc,CGPHLC,5.25,10/15/25,CCC1,USD,US,Corporate,Industrials,Leisure,Gaming,SENR,1722.7,100.25,0.83125,0.11517,0,1.722,5.102,3.045,5.039,468,100,0.671,0.11578,1.751,5.246,3.204,5.13,476,0.408,0.365,444,454,463,470
'12770RAA',US12770RAA14,Caesars Resort Collection LLC/CRC Finco Inc,CGPHLC,5.75,7/1/25,B1,USD,US,Corporate,Industrials,Leisure,Gaming,SECR,1013.3,105.375,2.491667,0.07229,0,1.446,3.959,2.246,4.052,373,105.875,2.316,0.07319,1.479,3.674,2.027,3.845,351,-0.3,-0.329,332,309,365,341
'17027NAA',US17027NAA00,Chobani LLC / Chobani Finance Corporation Inc,CHBANI,7.5,4/15/25,CCC2,USD,US,Corporate,Industrials,Consumer Goods,Food - Wholesale,SENR,537.1,103.252,1.1875,0.0371,0,2.108,5.985,2.177,6.167,588,104.5,0.958,0.03782,0.363,5.201,0.915,5.46,515,-0.966,-0.979,563,396,578,502
'17027NAB',US17027NAB82,Chobani LLC / Chobani Finance Corporation Inc,CHBANI,4.625,11/15/28,B2,USD,US,Corporate,Industrials,Consumer Goods,Food - Wholesale,SECR,430.7,103,0.629514,0.02952,0,2.709,3.534,4.28,3.692,303,103.25,0.488,0.02983,2.741,3.457,4.185,3.621,298,-0.105,-0.094,289,285,298,292
'171484AE',US171484AE81,Churchill Downs Inc,CHDN,4.75,1/15/28,B1,USD,US,Corporate,Industrials,Leisure,Gaming,SENR,506.7,104.75,1.939583,0.03575,0,1.949,3.479,3.632,3.536,294,105.02,1.794,0.03613,1.988,3.38,3.547,3.474,289,-0.117,-0.127,272,267,289,282
'171484AG',US171484AG30,Churchill Downs Inc,CHDN,5.5,4/1/27,B1,USD,US,Corporate,Industrials,Leisure,Gaming,SENR,608,105.3225,1.084722,0.04279,0,1.244,3.368,1.834,3.7,319,105.25,0.917,0.0431,1.273,3.466,1.922,3.773,327,0.227,0.21,291,301,311,317
'16412EAA',US16412EAA55,Cheplapharm Arzneimittel GmbH,CHEPDE,5.5,1/15/28,B1,USD,DE,Corporate,Industrials,Healthcare,Pharmaceuticals,SECR,506.7,104,0.870833,0.03514,0,4.384,4.61,4.912,4.635,405,103.395,0.703,0.03522,4.409,4.746,5.025,4.759,419,0.743,0.752,398,411,403,416
'1248EPBT',US1248EPBT92,CCO Holdings LLC/ CCO Holdings Capital Corp.,CHTR,5.125,5/1/27,BB2,USD,US,Corporate,Industrials,Media,Cable & Satellite TV,SENR,3293.4,105.108,0.583681,0.23021,0,1.329,3.151,2.079,3.458,293,105.212,0.427,0.23228,1.36,3.117,2.045,3.429,291,0.05,0.033,278,278,286,282
'1248EPBX',US1248EPBX05,CCO Holdings LLC/ CCO Holdings Capital Corp.,CHTR,5,2/1/28,BB2,USD,US,Corporate,Industrials,Media,Cable & Satellite TV,SENR,2533.4,105.375,1.819444,0.17961,0,1.543,3.104,2.583,3.398,280,105.375,1.667,0.18105,1.573,3.135,2.603,3.413,283,0.143,0.129,249,253,273,275
'1248EPBZ',US1248EPBZ52,CCO Holdings LLC/ CCO Holdings Capital Corp.,CHTR,4,3/1/23,BB2,USD,US,Corporate,Industrials,Media,Cable & Satellite TV,SENR,506.7,100.75,1.122222,0.03414,0,0.856,3.135,0.804,3.148,306,100.75,1,0.03442,0.886,3.163,0.841,3.225,311,0.12,0.112,297,301,298,302
'1248EPCJ',US1248EPCJ02,CCO Holdings LLC/ CCO Holdings Capital Corp.,CHTR,4.5,5/1/32,BB2,USD,US,Corporate,Industrials,Media,Cable & Satellite TV,SENR,2938.7,105.375,0.5125,0.2058,0,5.519,3.704,7.396,3.619,273,105.69,0.375,0.2081,5.552,3.654,7.327,3.562,273,-0.167,0.042,266,265,271,269
'1248EPCK',US1248EPCK74,CCO Holdings LLC/ CCO Holdings Capital Corp.,CHTR,4.25,2/1/31,BB2,USD,US,Corporate,Industrials,Media,Cable & Satellite TV,SENR,3040,103.75,1.80625,0.21223,0,6.334,3.676,6.759,3.556,273,103.74,1.676,0.21395,6.364,3.68,6.74,3.556,278,0.133,0.313,261,265,271,274
'1248EPBR',US1248EPBR37,CCO Holdings LLC/ CCO Holdings Capital Corp.,CHTR,5.5,5/1/26,BB2,USD,US,Corporate,Industrials,Media,Cable & Satellite TV,SENR,1520,104,0.626389,0.10518,0,0.382,2.163,0.379,2.524,211,104.15,0.458,0.10616,0.412,2.046,0.409,2.399,198,0.017,0.015,160,159,198,183
'1248EPBM',US1248EPBM40,CCO Holdings LLC/ CCO Holdings Capital Corp.,CHTR,5.75,2/15/26,BB2,USD,US,Corporate,Industrials,Media,Cable & Satellite TV,SENR,2533.4,103.55,1.86875,0.17663,0,0.173,1.796,0.176,2.092,170,103.625,1.693,0.17813,0.204,1.995,0.206,2.245,184,0.096,0.092,61,80,155,175
